#{"t_start": 1765175819.4403992, "env_id": "None"}
r,l,t
3.979497,1,2.073517
-4.910457,1,2.100041
-4.929887,1,2.121746
3.552849,1,2.289358
3.400426,1,2.826178
3.568232,1,3.754625
3.220682,1,4.112608
-4.910454,1,4.141668
3.578345,1,4.177426
3.804914,1,4.241026
3.978532,1,6.139608
3.047186,1,6.16227
3.363433,1,6.194545
-5.067064,1,6.219969
3.596016,1,6.248481
-4.533348,1,9.125713
3.583276,1,9.162707
3.721767,1,9.274998
3.413157,1,13.505235
-5.137584,1,14.336869
3.17026,1,14.71635
3.242583,1,14.745569
-4.520177,1,14.778103
-4.82574,1,15.120096
3.595775,1,15.1608
-4.557949,1,15.189512
-4.694257,1,15.527012
3.758333,1,19.481438
3.503974,1,19.521865
3.347398,1,20.010411
3.977986,1,21.48245
3.727544,1,21.520952
3.927128,1,21.552387
3.604119,1,21.581922
3.382198,1,21.616917
3.516147,1,21.908728
3.480144,1,21.973437
-5.34888,1,22.005059
-4.910457,1,22.130757
3.784764,1,22.185066
3.58169,1,22.605833
-5.310006,1,22.644376
3.616002,1,22.700605
3.485733,1,22.764351
3.912997,1,26.398386
3.456353,1,26.435972
3.425872,1,26.464573
3.37731,1,26.490025
3.968716,1,26.541584
3.584402,1,26.572804
3.477069,1,26.802314
3.562327,1,26.830884
-4.978153,1,26.857639
-4.773292,1,26.881644
-4.52303,1,26.914344
-4.784083,1,26.939047
-5.302299,1,26.960165
3.366235,1,26.994546
-4.825327,1,27.182907
3.458806,1,27.29934
3.629657,1,27.66316
3.537675,1,27.720676
3.62935,1,27.780778
3.652911,1,27.839611
3.93816,1,28.2968
-0.952006,1,28.984983
3.642765,1,29.020233
3.270222,1,29.097806
3.508477,1,29.151281
3.903341,1,30.264948
-4.623349,1,31.110557
3.48743,1,31.16328
3.491276,1,31.213324
3.562334,1,31.255887
3.622085,1,31.296737
-4.618263,1,31.313035
4.848635,1,31.613551
3.569165,1,31.647678
-4.513444,1,32.63461
3.978394,1,32.661972
2.07777,1,33.33527
3.235399,1,33.375493
3.141613,1,33.590901
3.967753,1,33.623477
3.408227,1,33.657568
3.429543,1,33.692309
-4.908714,1,33.712114
-4.773301,1,33.748173
2.468095,1,34.034297
-5.094307,1,34.074495
3.458977,1,34.631826
-4.520181,1,35.595114
3.376752,1,35.648437
3.533635,1,35.710297
-4.200811,1,36.94454
3.577328,1,37.11283
3.428003,1,37.175487
-5.132751,1,37.215252
3.608486,1,37.277967
-5.303576,1,37.308831
-4.656353,1,37.584803
3.848655,1,44.076562
3.248853,1,48.329796
3.610486,1,54.633236
3.463622,1,54.785665
3.922872,1,55.539078
3.466731,1,55.592034
-5.003406,1,55.63176
3.449304,1,55.673347
14.405216,1,56.422967
3.90375,1,56.831766
3.455896,1,56.878867
3.597944,1,56.93995
-4.824547,1,56.988198
-5.020131,1,57.039011
3.486594,1,61.831053
3.750349,1,61.870853
3.020171,1,61.905219
3.331413,1,61.957739
3.634622,1,64.12105
3.974179,1,64.549679
1.88521,1,65.01881
-4.910454,1,65.081018
-4.993336,1,65.114055
3.612527,1,65.164377
18.772881,2,66.01786
3.611945,1,66.088176
3.571032,1,72.168291
3.603189,1,72.224616
-8.116264,1,72.66711
3.366541,1,73.217032
-4.652666,1,73.556429
-7.533474,1,74.526208
3.097666,1,74.560901
-4.989103,1,74.586308
3.570012,1,74.634903
3.570055,1,74.660635
-4.616417,1,75.047817
-4.908712,1,75.190655
3.840765,1,75.223242
3.969038,1,75.901761
-4.910454,1,75.943171
3.90664,1,76.132714
-4.643651,1,76.443548
3.744783,1,77.668065
3.472247,1,77.860732
-3.603345,1,78.441225
3.300299,1,78.512579
3.426427,1,78.58656
3.670276,1,78.803873
3.4008,1,79.251788
-4.522298,1,79.288969
-4.773303,1,79.352167
3.421285,1,79.417043
-5.115617,1,79.483475
3.542231,1,79.530284
