#{"t_start": 1765175819.4403992, "env_id": "None"}
r,l,t
-5.053391,1,80.34097
3.626821,1,80.386
-4.910457,1,80.42687
3.426086,1,80.467008
3.194164,1,80.853921
3.970288,1,81.350276
-4.996655,1,81.40338
3.514883,1,81.442654
-4.910453,1,81.485653
-4.520369,1,81.526243
3.694496,1,81.554098
3.539781,1,81.587777
3.584854,1,81.625546
3.88547,1,81.767484
3.556959,1,82.036111
3.520601,1,82.068573
-4.71353,1,82.367768
-4.908715,1,82.392555
3.322723,1,82.42985
3.18074,1,82.477343
3.549656,1,82.51888
3.505497,1,82.548081
-4.482988,1,82.831335
3.549661,1,87.387949
-4.590162,1,88.237588
3.092736,1,88.278885
3.299745,1,88.77719
3.487081,1,88.825073
-4.910455,1,88.873525
3.857653,1,89.352799
3.182316,1,89.378037
3.386044,1,89.432577
3.228571,1,89.498009
3.792733,1,89.523612
3.584641,1,89.811409
-5.349027,1,89.848555
-5.332309,1,89.876707
3.431378,1,93.201812
-4.471196,1,95.794838
3.041982,1,95.844482
-4.910032,1,96.008008
3.567571,1,96.04312
-4.945033,1,96.070534
-4.641958,1,96.101385
-5.182004,1,96.404265
3.924516,1,97.084254
-4.910454,1,97.126442
-5.195046,1,97.183066
-7.52366,1,97.906365
3.758152,1,98.550836
3.184769,1,98.77268
3.524804,1,98.829923
3.038351,1,98.876679
-4.845105,1,99.073049
-4.615379,1,99.532222
3.51968,1,99.566233
3.510309,1,99.605816
-4.908716,1,99.636355
3.579344,1,103.467859
-4.747466,1,103.501813
3.926267,1,103.521478
-4.910454,1,103.571664
3.960704,1,103.604014
3.970597,1,103.64466
3.062824,1,103.863161
19.692759,2,104.307931
-4.698983,1,104.332825
3.716884,1,104.535682
3.328895,1,105.462834
3.61265,1,105.492403
3.58051,1,105.518411
15.336871,2,106.143301
3.594936,1,106.172264
-5.056225,1,106.203427
-4.612512,1,106.414067
3.142769,1,106.449995
3.551876,1,106.486285
3.473712,1,106.52201
3.367852,1,106.558291
-4.665604,1,106.623139
3.951215,1,106.943316
3.662508,1,107.527593
3.970995,1,108.06771
-8.287589,1,109.07858
-5.195054,1,109.522831
3.316046,1,109.592528
3.5479,1,110.336888
-4.760954,1,110.370708
-5.027994,1,110.399009
3.922442,1,110.429142
3.130018,1,110.461685
3.463327,1,110.492502
35.38797,3,111.286552
3.454706,1,111.319294
3.61197,1,112.083373
-4.936012,1,112.210088
3.759551,1,112.449951
-4.615304,1,112.863906
3.458014,1,112.902195
3.045855,1,117.394324
3.096217,1,117.44966
-4.975414,1,117.487101
3.819128,1,117.555591
-4.686128,1,117.599827
3.566694,1,118.059414
3.415603,1,118.114771
