#{"t_start": 1765177217.755359, "env_id": "None"}
r,l,t
3.471544,1,32.727176
-4.604609,1,33.190735
3.959077,1,33.223821
-4.910455,1,33.268427
3.532526,1,33.30156
3.50661,1,33.329725
-4.910456,1,33.359584
3.452277,1,33.390171
3.436973,1,33.425193
-4.761629,1,33.451169
3.404298,1,33.47538
3.58738,1,33.674373
3.518853,1,33.723844
3.403901,1,33.769277
-4.736502,1,33.814944
3.580122,1,33.904437
3.575669,1,34.00926
3.585379,1,34.117079
-4.910456,1,34.213295
3.579835,1,34.323649
3.95813,1,34.406675
3.807587,1,35.012385
-4.910455,1,35.076869
-4.761636,1,35.129529
-4.761644,1,35.186003
3.811928,1,35.232428
3.579774,1,35.310234
3.968525,1,35.395415
-4.910453,1,35.457915
-4.761637,1,35.511851
3.260082,1,35.57143
-4.761632,1,36.002127
3.171755,1,36.263308
-4.836741,1,36.322784
-4.761633,1,36.647054
-4.910453,1,36.866621
-4.910458,1,36.91726
3.443742,1,36.984042
3.580662,1,37.061051
-4.910455,1,37.13466
3.460717,1,37.188427
3.242187,1,37.589623
3.175436,1,37.661538
-4.910454,1,37.703447
3.234225,1,38.905187
3.937225,1,38.976235
3.504981,1,39.010512
-4.761626,1,39.052061
3.936417,1,39.101197
3.568446,1,39.134217
-4.910456,1,39.184414
3.479782,1,39.668328
-4.910459,1,39.702095
3.625175,1,39.739518
-5.366146,1,39.771743
3.412341,1,39.810055
-4.910455,1,39.851794
3.601436,1,39.903226
-4.612365,1,40.200336
-4.910456,1,40.253247
-4.910455,1,40.301441
-5.292455,1,40.705451
3.457682,1,40.76544
-4.910454,1,40.823762
3.405256,1,40.891943
-4.555111,1,40.950331
3.460445,1,41.003672
3.638171,1,41.058173
3.880102,1,41.129857
3.59398,1,41.168455
3.457322,1,41.220377
3.40368,1,41.62026
-5.212472,1,41.677765
-4.391521,1,42.502054
-4.910459,1,42.559494
3.457401,1,42.608791
-4.910459,1,42.662704
3.405832,1,42.719914
-4.910458,1,42.76775
-5.377411,1,42.818089
3.251607,1,43.371996
3.14544,1,43.820322
3.151323,1,43.927689
3.498215,1,43.970651
3.40434,1,44.013738
3.651394,1,48.26685
3.071309,1,48.34865
-4.910457,1,48.397723
3.470156,1,48.453571
3.336826,1,48.872779
3.456976,1,48.916183
-4.910455,1,49.290739
3.636182,1,49.326036
3.960997,1,49.373433
3.562261,1,49.409245
3.173316,1,49.507231
3.580506,1,49.546707
3.437602,1,49.593977
3.638194,1,49.630062
-4.653857,1,49.665183
-4.910454,1,49.704408
3.580458,1,49.997174
3.806915,1,50.029677
3.812187,1,50.064153
3.390201,1,50.462549
3.361312,1,50.691778
3.481569,1,50.73676
-4.910454,1,50.783563
3.410499,1,50.83265
3.686182,1,50.883747
3.800178,1,51.485655
-4.910451,1,51.880254
3.427927,1,51.916054
-4.665826,1,51.967271
-4.761635,1,52.020833
3.69332,1,52.06987
3.579765,1,52.135545
3.479984,1,52.179228
-4.761645,1,52.235817
3.884852,1,52.36896
3.444648,1,52.414348
3.954487,1,52.782281
3.96585,1,52.852043
-4.910453,1,52.896132
3.203098,1,53.307084
3.583952,1,53.335173
3.579582,1,53.381581
3.638322,1,53.41494
-4.761628,1,53.453071
3.808653,1,53.48552
3.968563,1,53.535912
-4.910455,1,53.812943
3.596296,1,53.849964
3.249779,1,54.075142
3.638354,1,54.100498
-4.521437,1,54.133591
-4.910454,1,54.165753
-4.910454,1,54.200597
3.439005,1,54.236192
-4.76164,1,54.273237
3.951528,1,59.801595
3.580433,1,60.192735
3.480192,1,60.244876
3.811196,1,60.29427
3.882497,1,60.358798
3.884986,1,60.399869
3.380032,1,63.318446
3.648454,1,63.362082
3.567755,1,63.399734
3.570768,1,63.426917
3.101523,1,63.498604
-4.910454,1,63.689089
-4.910456,1,63.714611
-4.910459,1,63.74122
3.931408,1,63.769279
3.31595,1,63.823784
